501,Pristine Water
502,Drinking Water
503,Stale Water
504,Fireglow Stone
505,Blaze
506,Flame
507,Mother Sunshine
508,Lightning Shroom
509,Jolt Shroom
510,Spark Shroom
511,Treasure Lowdown
512,Mother-in-Law's Secret
513,Yesterday's News
514,Stone
515,Boulder
516,Pow Milk
517,Pow Milk Yogurt
518,Pow Milk Cheese
519,Glubberfish Filet
520,Rotten Food
521,Celestial Flower Seed
522,Celestial Flower Bud
523,Celestial Flower
524,Cloud
525,Salty Water
526,Salt
527,Lava
528,Hot Rock
529,Mountain Apple
530,Mountain Apple Vinegar
531,Mountain Apple Wine
532,Magna Mess-Up
533,Chronic Fatigue
534,Rotting Mountain Apple
535,Fruit Fit for an Emperor
536,Meat Fit for an Emperor
537,Well-Done Meat
538,Juwar's Testimony
539,Juwar's Testimony
540,Juwar's Testimony
541,Juwar's Testimony
542,Nollin's Testimony
543,Nollin's Testimony
544,Mallo's Testimony
545,Mallo's Testimony
546,Bein's Testimony
547,Rock Salt
548,Diadem Cloud
549,Pac-Man
550,Pac-Land
551,Pac-Mania
552,Chunk of Rubber
553,Hero's Pickax
554,Lava Lord's Skull
555,Sandfeeder Silk
556,Sparkling Snow
557,Nameless Flower
558,Pressed Flower
559,Bloodstained Crest
560,Diadem Royal Crest
561,Egg
562,Boiled Egg
563,Machina Oil
564,Gold Beetle Carapace
565,Gold Nugget
566,Adventure Novel
567,Naughty Novel
568,Dense Medical Tome
569,Read-to-Death Book
570,Chef-Prepared Meat
571,Empty Book
572,Pow Meat
573,Shaved Ice of Love
574,Portrait of Verus
575,Extreme Stress
576,Mound of Soot
577,Soot Soup
578,Withered Branch
579,Pretty Stone
580,Plain Old Shaved Ice
581,Dark Powder
582,Travel Log
583,Basic Medical Primer
584,Heartflask
585,Heartflask
586,Heartflask
587,Heartflask
588,Heartflask
589,Heartflask
590,Heartflask
591,Heartflask
592,Paramours' Secret
593,
594,
595,
596,
597,
598,
599,
600,
601,
602,
603,
604,
605,
606,
607,
608,
609,
610,Stinging Antiseptic
611,Cottoncap Gauze
612,Fluella Cooties
613,Warm Cheers
614,Icy Jeers
615,Real-Deal Mask
616,Thornflower
617,Thornflower Nectar
618,Fluffy Pillow
619,Sandcap Spores
620,Love Syrup
621,Sandcaps
622,Machina Gas
623,Yesterbean Variant
624,Poor Excuse for a Joke
625,Phantasmagoria
626,Cottoncap Fruit
627,Machina Communicator
628,Heartenbrace
629,Immigration Papers
630,Holoholobird's Plume
631,Celestial Fell-Branch
632,Fire Dagroot
633,Ice Dagroot
634,Lightning Dagroot
635,Dark Dagroot
636,Holy Dagroot
637,Black Dragon's Horn
638,Balmsand
639,Goopy Machina Oil
640,Foul Air
641,Fresh Air
642,Power Pellet
643,Light Powder
644,Traditional KM Cookie
645,Original KM Cookie
646,Lotus Leaf
647,Photosynth Lily
648,Freezing Rain
649,Oleflour
650,Gust Boulder
651,Yesterbean
652,Medic Kit
653,Gena's Pinion
654,Toy Sword
655,Dull Times
656,Gold Beetle Wallet
657,Hero License
658,Magnetite Waves
659,Good Times
660,Eau de Mouche
661,Holy Droplet
662,Terrible Song
663,Sweet Song
664,Heartbreaking Song
665,Flame Ice
666,Coliseum Dog Tags
667,Metal Device
668,Bomb Detonator
669,Rockfly Corpse
670,Black Leather Notepad
671,Scoop Notepad
672,Royal Mirror
673,Sagi Wanted Poster
674,Milly Wanted Poster
675,Guillo Wanted Poster
676,Local Hero Sagi
677,Local Hero Milly
678,Local Hero Guillo
679,Woodfellah
680,Billowsmoke
681,Holoholo Fruit
682,Holoflower Nectar
683,Half-Baked Greythorne
684,Greythorne Storybook
685,Greythorne's Song
686,Tub-Time Greythorne
687,Floppy Greythorne
688,Fluffy Greythorne
689,Spring-Lord's Voice
690,Rainbow
691,Primordial Cactus
692,Ancient Mask
693,Stewed Mud Potatoes
694,Fire Moss
695,Potted Celestial Flower
696,Potted Heartenbrace
697,Potted Nameless Flower
698,Flowerpot
699,Celestial Tree
